fid,osm_id,name,highway,angle,xcoord,ycoord
177,"556954156",Market Street,primary,277.089217678540876,-75.151096800000005,39.950829499999998
177,"556954156",Market Street,primary,277.089217678540876,-75.151394506554155,39.950866524419169
177,"556954156",Market Street,primary,277.089217678540876,-75.151692213108305,39.950903548838347
177,"556954156",Market Street,primary,277.050250258885626,-75.151989928529403,39.950940501761586
178,"556954157",South 6th Street,tertiary,186.906938622675682,-75.150378099999998,39.950742800000000
178,"556954157",South 6th Street,tertiary,192.332590052542457,-75.150430922677501,39.950447815405518
178,"556954157",South 6th Street,tertiary,192.332590052542457,-75.150494998507185,39.950154738132341
180,"626091319",North Front Street,tertiary,14.824111783933885,-75.142146999999994,39.949674000000002
181,"626268978",Walnut Street,tertiary,276.448592294243667,-75.154254199999997,39.948106899999999
181,"626268978",Walnut Street,tertiary,277.012584477026564,-75.154552077017613,39.948142499127883
181,"626268978",Walnut Street,tertiary,277.012584477026564,-75.154849832825690,39.948179125331038
181,"626268978",Walnut Street,tertiary,277.066729716973214,-75.155147574165511,39.948215868698199
183,"626537322",North 8th Street,secondary,192.716781891456662,-75.153524899999994,39.951370699999998
184,"626537324",South 8th Street,residential,192.312339244932247,-75.154354799999993,39.947641800000000
184,"626537324",South 8th Street,residential,191.652237993464865,-75.154422468195563,39.947349765386512
184,"626537324",South 8th Street,residential,191.652237993464865,-75.154483059477755,39.947055947932093
186,"626537327",Walnut Street,tertiary,277.112284582244456,-75.153174399999997,39.947973800000000
186,"626537327",Walnut Street,tertiary,277.112284582244456,-75.153472091624238,39.948010944270870
186,"626537327",Walnut Street,tertiary,277.112284582244456,-75.153769783248478,39.948048088541739
186,"626537327",Walnut Street,tertiary,277.112284582244456,-75.154067474872718,39.948085232812602
187,"626537328",Arch Street,secondary,275.436900737705173,-75.154714200000001,39.953363299999999
188,"626537329",North 9th Street,residential,12.730868794818612,-75.154714200000001,39.953363299999999
188,"626537329",North 9th Street,residential,12.418782343512255,-75.154649241884215,39.953656182072955
188,"626537329",North 9th Street,residential,12.407418526365234,-75.154584750976724,39.953949168287608
188,"626537329",North 9th Street,residential,12.407418526365234,-75.154520292441930,39.954242161627626
189,"627641199",Race Street,secondary,97.219020823741815,-75.144854600000002,39.954016899999999
189,"627641199",Race Street,secondary,97.114898782621950,-75.144556930639126,39.953979578573318
189,"627641199",Race Street,secondary,96.510344856706439,-75.144259218687679,39.953942605058728
189,"627641199",Race Street,secondary,96.510344856706439,-75.143961153267554,39.953908590277791
189,"627641199",Race Street,secondary,97.112211188070575,-75.143663362765764,39.953872283758841
190,"627641201",Race Street,secondary,94.323415274491396,-75.142928600000005,39.953781599999999
190,"627641201",Race Street,secondary,89.158575481610526,-75.142628759560196,39.953780865965989
191,"628174388",Market Street,primary,277.082966061901345,-75.152534299999999,39.951008199999997
191,"628174388",Market Street,primary,277.082966061901345,-75.152832010592164,39.951045191935798
191,"628174388",Market Street,primary,277.082966061901345,-75.153129721184342,39.951082183871605
191,"628174388",Market Street,primary,277.082966061901345,-75.153427431776478,39.951119175807406
193,"687887209",Chestnut Street,tertiary,95.984104376839596,-75.150763499999996,39.949235700000003
193,"687887209",Chestnut Street,tertiary,96.908265446404300,-75.150465481719962,39.949201353215742
194,"687887210",South 6th Street,tertiary,201.766800137341278,-75.150763499999996,39.949235700000003
