                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.0255,                 1.4128,                0.67268,                 1.0912,                0.81743,                0.82592,                0.87278,                0.47793,                0.83391,                0.80583,                 0.8585,                0.49255,                 1.4247,                 1.7922,                0.92645,                 1.4165,              0.0018654,              0.0018654,              0.0018654
                     71,                 0.9882,                 1.3426,                0.65336,                 1.0813,                0.85015,                0.82622,                0.87185,                0.51761,                0.85015,                0.82622,                0.85004,                0.50165,                 1.3536,                 1.7554,                0.94916,                 1.3487,              0.0018634,              0.0018634,              0.0018634
                     72,                 0.9909,                 1.3187,                0.65085,                 1.0826,                0.87578,                0.76699,                0.84017,                0.49728,                0.86998,                0.73786,                0.83295,                0.48312,                  1.507,                 1.8349,                 0.9705,                 1.4943,              0.0018614,              0.0018614,              0.0018614
                     73,                 0.9987,                 1.3235,                0.65025,                 1.0836,                0.79223,                0.79612,                0.85764,                  0.513,                0.78193,                0.78641,                0.84076,                0.47004,                 1.4039,                 1.8064,                0.98557,                 1.4017,              0.0018594,              0.0018594,              0.0018594
                     74,                0.97315,                 1.3007,                0.64128,                  1.065,                0.81612,                0.81553,                 0.8528,                0.47623,                0.81977,                0.75075,                0.81688,                0.47389,                 1.4226,                 1.8728,                0.96878,                 1.4294,              0.0018574,              0.0018574,              0.0018574
                     75,                  1.007,                 1.3778,                0.65112,                 1.0734,                0.88118,                 0.7767,                0.83301,                0.49487,                  0.877,                0.76147,                0.81354,                0.49026,                 1.5222,                 1.7934,                 1.0433,                 1.5453,              0.0018555,              0.0018555,              0.0018555
                     76,                0.97624,                 1.3103,                0.63009,                  1.063,                0.86584,                 0.7767,                0.87124,                0.51445,                0.88567,                0.78641,                0.87434,                0.51144,                 1.4675,                 1.6733,                0.94572,                 1.4642,              0.0018535,              0.0018535,              0.0018535
                     77,                  1.016,                 1.3936,                0.63505,                 1.0687,                0.78991,                0.78641,                0.83797,                0.51512,                0.78991,                0.78641,                0.83623,                0.49117,                 1.5197,                 2.1053,                 1.0159,                 1.5233,              0.0018515,              0.0018515,              0.0018515
                     78,                 1.0026,                 1.3582,                0.64393,                  1.074,                0.87073,                0.78641,                0.87023,                0.52836,                 0.8765,                 0.7767,                0.84884,                0.49355,                  1.504,                 1.8051,                 0.9286,                 1.4899,              0.0018495,              0.0018495,              0.0018495
                     79,                0.96923,                 1.2866,                0.61747,                 1.0552,                0.77739,                0.85437,                0.87176,                0.52726,                0.85466,                0.71845,                0.83921,                0.48802,                 1.4633,                 1.7823,                0.90155,                 1.4581,              0.0018475,              0.0018475,              0.0018475
                     80,                0.98285,                 1.3717,                0.64285,                 1.0715,                0.84368,                0.83843,                 0.8754,                 0.4953,                0.82964,                0.80378,                0.85641,                0.48596,                 1.5429,                 1.6627,                0.94767,                 1.4849,              0.0018456,              0.0018456,              0.0018456
                     81,                0.95188,                 1.2775,                0.62691,                 1.0598,                0.73516,                0.86243,                0.84611,                0.48849,                0.73625,                0.81553,                 0.8238,                0.48611,                 1.5061,                 1.6512,                0.99452,                 1.4754,              0.0018436,              0.0018436,              0.0018436
                     82,                0.98147,                  1.308,                0.63708,                  1.067,                0.79263,                0.83495,                0.84486,                0.48609,                0.78482,                 0.7767,                0.81616,                0.46287,                 1.4672,                 1.8015,                 0.9156,                 1.4939,              0.0018416,              0.0018416,              0.0018416
                     83,                0.97997,                 1.3269,                0.64036,                 1.0723,                0.86771,                0.78641,                0.85003,                0.53479,                 0.8459,                0.76699,                0.83229,                0.49294,                 1.4358,                 1.6922,                0.96347,                 1.4721,              0.0018396,              0.0018396,              0.0018396
                     84,                0.96994,                 1.3339,                0.63551,                  1.058,                0.87489,                0.81472,                0.89351,                0.51096,                0.87268,                0.79858,                   0.87,                0.50148,                  1.398,                 1.7893,                 0.8701,                    1.4,              0.0018376,              0.0018376,              0.0018376
                     85,                0.96757,                 1.3218,                0.64438,                 1.0623,                 0.8147,                0.82524,                0.86751,                0.53014,                0.80386,                0.81553,                0.85116,                0.49403,                 1.5216,                 2.2976,                0.94198,                  1.539,              0.0018357,              0.0018357,              0.0018357
                     86,                0.95386,                 1.3175,                0.61542,                 1.0512,                0.84837,                0.81482,                0.83003,                0.45161,                0.84698,                0.80608,                0.84306,                0.45463,                 1.5617,                 1.8203,                0.91044,                 1.4988,              0.0018337,              0.0018337,              0.0018337
                     87,                0.93783,                 1.3016,                0.62133,                 1.0381,                 0.8901,                0.80583,                0.85582,                0.49932,                0.88211,                0.79612,                0.85318,                0.49323,                 1.4455,                 1.8124,                0.89026,                  1.499,              0.0018317,              0.0018317,              0.0018317
                     88,                 0.9316,                 1.2278,                0.61719,                 1.0434,                0.75898,                0.88666,                0.85244,                0.50249,                0.71743,                0.83811,                 0.8087,                 0.4678,                 1.4724,                 1.7498,                0.86378,                 1.4889,              0.0018297,              0.0018297,              0.0018297
